cohort,condition_id,trades,sum_edge
D/F,0x2f79bb189a75eca06e71950751d290d4a1abc2dbbbd8b1cf8fc1d75490a6f4b5,9,-0.509031
no grade,0xeffc9017a924f8d16977ee85fd63a531bda32605c4d5b4b625d8d444909d58a8,1,0.490000
S/A/B,0x3747cf8b39cdc5da353720234275e617992f8da827caaaf38ece03b8b3c56bbd,3,-0.451281
no grade,0xfa48585bd21b182ca75a573f770fc8c653f0ecdf84cb959b3bf67f41de637401,1,0.120261
no grade,0x818b94bd5608c4864382c837ea850b6d3aabf21d8a9136062456f041f51cebbc,1,-0.660000
D/F,0x1cef61f0dfa0be8aab7b4a22b204ebf25ec6ff96f3f33c8314878e279755b493,1,0.442754
no grade,0x3c1431493040368dd64882d02d62a1c8001b005a7c801555d5cadfb64a05d459,1,-0.520000
S/A/B,0xcaa6028bb913027855dd0f9e70aed19da225e0f998273c7b86210d72f99de15f,1,-0.600000
S/A/B,0x4a79ee243fd2910b21b240699be5e3cabb73de2f18cddc23c88fc842efe87d95,6,1.203361
D/F,0x850bfe629196d7cc3c22d8d61a51d1ba1c6284473e7bdcb787d24379db027a68,1,0.660000
no grade,0x82018b39fd4f716e6c5beb71837016bd235192c27f40ba1d69edee7958126aa3,1,0.322788
no grade,0x6f625933010dd4e8b4744617534de160c52912b91c896aa0199d51fb64af04b3,1,-0.920000
S/A/B,0xe949e3949780dfce68fc24136bb3f79e5e1ad94d0001079ee26f6b474d77d355,10,1.270000
S/A/B,0xe6f040d202cefefe47bdc9d192303905418223fec440f96eb2abe98f3b701bd4,31,-7.628998
no grade,0xaea50c46b138456d358138b2c1737f22cc692ac199e2cfa0c1e86e2babf9e37b,22,0.826838
S/A/B,0xf2c35be00d4de7ef2d45f7df5fb2813bf1ffec8ae81d65a8e9d2fb56474b2f89,1,0.310000
D/F,0x9d25c6655258d45575a0eae4fee9c42e17cf1f1337635f4c9a645ee3dc14482d,1,-0.520000
S/A/B,0x90d7b6d3bbda0f9e47dda85754ec9bb7676e7074e79821c6e86ac0e265e851b4,2,0.660000
D/F,0xaffb1fc954b893c5c5637d151316eb03a2d293d356f49cedc130c12c9db50373,1,-0.560000
S/A/B,0x4822d1452ba17d280b2c271db0e58df7866c9b494040649ab6c6ae8bb7363b18,24,3.527586
S/A/B,0xeb9efeb9813767d7c6eb5ae79d18f7cfcd5bd5a408292e03b7e725bc521f5a16,1,0.200000
S/A/B,0x0ba58fa6d9844e30d1c2859a337f6a5cce77ea5e1eb07aec14804c334bc05430,1,0.550000
S/A/B,0x115b23b05345a3ca71e00af7809552cf0b2ffa9a23da3098cffa4f5a1bd04da3,1,0.190274
D/F,0xa5fc22f30517e336b2ce8ac45279cf801b84f9ea94a9b3b9897e7111d2e82aa6,1,0.290000
no grade,0xbcb05ecaa858b0fb06a9ba7ba3cca3144f4f066c7c73b4b4b4d6fe17a0f31006,1,0.490000
no grade,0x04f0f21d77609ef19ef1c36749a8f522e471802384f484b80de4f789b1a90bb4,1,-0.450000
S/A/B,0x22665887be33bd70f6eb9c39d37db073e9422b4669c9e6b76792638aab5a49a9,3,-0.565934
D/F,0xb5e6e5829c986107aebc5b4b18429b007a813f2b5ca860993020f27ef9f0e080,1,0.200000
D/F,0xea2015cee5df63d74862cd9976d40d6c5a9a0a6bcf07d6e7437fbcf3d45a6658,1,0.550000
S/A/B,0x5637b99be61ab6ff4214056df66cefb7b9cc2322a5eee9916b4c7bc7488181f0,1,-0.720000
S/A/B,0x056e22ecb716a741445319aa5dedd5d95abc76d864505cfee3518e49c662c1c1,2,-0.788220
