
== 01_market_bucket_edge.csv  (5000 draws, seed 20260912, resampled over markets)
group                       trades  markets  edge_pts   95% CI
1                             2020      412     -3.52   [-5.50, -0.28]
10                           39134     9789     -0.69   [-2.52, +0.74]
2                             5913     1556      4.61   [-5.64, +19.10]
3                            13084     3592     -0.55   [-3.37, +2.48]
4                            29613     6735      1.44   [-1.27, +4.26]
5                            70602    13084      0.41   [-1.27, +2.12]
6                            95139    15235     -0.72   [-2.16, +0.76]
7                            62223    11588     -0.08   [-2.12, +1.88]
8                            49123     9986      0.91   [-1.02, +2.83]
9                            44919     9879     -0.44   [-2.77, +1.72]

== 02_market_cohort_edge.csv  (5000 draws, seed 20260912, resampled over markets)
group                       trades  markets  edge_pts   95% CI
C                            37712     4933      0.63   [-0.78, +1.94]
D/F                          43615     7057     -1.21   [-2.72, +0.33]
S/A/B                        48255     8316      1.25   [+0.20, +2.31]
no grade                     26250     6107     -0.62   [-2.08, +0.93]

== 03_market_bucket_edge.csv  (5000 draws, seed 20260912, resampled over markets)
group                       trades  markets  edge_pts   95% CI
a. 7d+ before                  515      182     -5.55   [-11.54, +0.17]
b. 1-7d before                9389     2012     -3.21   [-5.09, -1.35]
c. 6-24h before              40100     7980     -0.95   [-1.94, -0.00]
d. 1-6h before               63485    12227     -0.34   [-1.17, +0.47]
e. last hour                 90532    15078      0.16   [-0.53, +0.85]
f. in-play, first hour       89010    15842      0.46   [-0.18, +1.06]
g. in-play, second hour      67836    12879      0.57   [-0.11, +1.24]
h. in-play, 2h+              35963     5509      0.11   [-0.97, +1.13]
