grp,condition_id,n,sum_edge
No,0x3c34b6dc8f4a2c3d7947519b3a95d7c4fe28a56b2416773c6e386f8a26ac78ec,19,7.860228
Yes,0xb21b1b31861b6bd233312c1d9165c7982c99e593b8437739c3714a742d47b39a,3,1.490523
Yes,0xef22eeaec98b3f8471c1733b95a407b28b168833e47b59bb55f9a0967ddcb7b5,1,0.450628
Yes,0x03b33d89b5181f4bda90bfdb35a0806558047162592089ba5057c1fd6d7c3faa,1,-0.504854
No,0x996eea627815c2e1f7504ea306dd27353f1990e95bf92c97d710485c670cec7e,1,-0.470000
Yes,0x5e6b685211bb1141b9f71539d29a6f60d681efb841668443c1c9eeacf1be73c7,5,-2.042877
Yes,0x8de78e4256f3dbff0ee2c0a56079fbdcda556a2fd1226e28f00beb43ba18172b,1,0.364255
Yes,0xb35a8442da7a78d7aba50d62d125c24f6c3c1998d33fb26d350418bf7fba9f70,2,-0.800151
Yes,0x2ff10dee9538779eb024f0879f9384b8e1ba9a1b272b714ac830639a462ef2e5,1,-0.467995
Yes,0xf22842d39f40087e4dcb6739d4353dda3faac2cfc73e0f92e93fd7e302e2ebfb,3,1.392988
No,0xaf9a8288e6bd5f5a045158ac1e81f6d7657843e9c7a8c55c52572276cdb0eb67,2,-1.180000
No,0xb35a8442da7a78d7aba50d62d125c24f6c3c1998d33fb26d350418bf7fba9f70,2,0.758406
Yes,0xe5169248818d2c4970e5d09a8cce1f974a811d7f69869f9cbf92c000f17d4e21,1,-0.630000
No,0xd9812997da83027b4ee3e87bfc131793ea70d6f3e03060e2131ada2e9db17212,2,-0.909033
Yes,0xbeb69f4ee3a150c8354bf308b7d12140d2be709e8ce584700b6d2c03a65c4216,1,0.080000
Yes,0x0eb14827c0e55de386c720191eb556fa1a6b008f5d2513f19a984c5d74a5b06a,12,6.280020
No,0xe81ec0ca7357d9e91e9b95e1ecf60606f8b1686290464758b9a3595aeae11a1a,18,-8.622867
