grp,condition_id,n,sum_edge
band g. 90-98c,0xd2a8caba5559bc21e14f6b2aa504cb14a1782751658b71409e25b82e432c0a97,1,0.070000
all sells,0xcf0512fbf8bd7d79d9c4a033ba89180e110a961d322d4b7140d7757a501485f2,1,0.118363
all sells,0xe96225866c20fe6b387d8da9ec97cf5ccbdde50bd719125bc9ef412f919abc30,1,0.050000
band g. 90-98c,0x53a0d3980747503a4a2c9c80f4ea2373a6f7d56af6d8cee8fd9ed2179da53c89,2,0.180000
band e. 60-80c,0x356cd3b832adb19e8dfdf1d01293c7988cd4be74d42af3af6e8984c17c187534,1,0.355962
all sells,0xd17f0c421fddd350b611f07bf209e7332a53773b26711d98170723ad4268fb54,1,0.541310
all sells,0xec031e3686f50945eeb379f3e3972708a49b27f81d233cddbd7511a82c9964e7,1,0.040000
band c. 20-40c,0x971eb98daab3a11a1dd3b76e14ae962f8e5980ec6a3d499529b5f19b75108d4a,1,-0.280000
band c. 20-40c,0x153ce5e130f6cebf5dafdebce9b40bc34a726f4a4f6c1aab0611d3c8a0842fe4,1,-0.320000
all sells,0xda125c359659b47304eb249e1c75d37244aca717820c4f360f1fc4a021bc3855,1,0.290233
all sells,0x1ccf9ae67bf6777783f2c5d366a93e23c74572a1161fc807ba9095a88694b607,1,-0.680534
all sells,0xcd372af63a0750eeb2024a07759c57698f189dc34a86578497c90392e3700a7f,2,-0.555063
band g. 90-98c,0x7f1d878b72e5de3691768ef8fdc0f811405717166e2161e7e490c347980d9b8e,6,-5.812000
band g. 90-98c,0x93fdd9d0d6a0fe211fd7511ffaa281a5ebc6fe2216d23695423bc0ea72598936,1,0.070000
all sells,0x6b67bf15ea2e55738cdad96842bccb0dbc47094273c3ba39a7b3965ca0553bea,1,0.300000
band d. 40-60c,0x3387ac9c1660a91d25912d9d717fb77eb19633e19dbb5f422e11b0cfcd034758,2,0.878285
band d. 40-60c,0x5c0515f752953a8efd51e388ff0e1afaf65494fe72fb873de676f415ef4db06b,2,-1.126096
all sells,0x23d214dd52fd1c6f0979b42069166cfd4ed0f8f6e3de02161ccf1055854208ba,11,1.185659
all sells,0xc53b6056373f3659365afa094b4ba9af14f540b576a8ca0347309be8b4ed3228,1,-0.560000
band d. 40-60c,0x2a6f15b1d468dafc56d89f4792c6cb20cdd64e0e2923c5083c02fa610372f4f1,3,1.720419
band d. 40-60c,0x962c33d297cb9720835b5e5579a3d9f8bb0e0c97429d59ee01c70bc073c18d7f,1,0.430000
band d. 40-60c,0xccf4e970e86083ed934a0fc9f69949cb15576301a21bab8fc357eaa3886cd6e2,1,-0.500000
all sells,0x19d80a9297473ae0d894db566318c96ea22cb8a8a7f64d7af530d3eb39f53be0,6,1.124036
all sells,0x4b2dd194251849b2d1911c639d692e146c1e6f927a47b3f78b93b11bf631799e,2,0.480000
band e. 60-80c,0x628679ecbc643ddf9ae021b3fa244ae563f58d35c7f93280900994b5a7dd883a,6,-0.059415
all sells,0x7394229685d411c9aee4075275ff70612c566281fbb58f68c6b1a3c8750360a0,1,0.075445
all sells,0x2ffcfc87c00f1a85fc3a0acc86f16419f8c780fd409db9de5ca434bb623a6a7f,2,-0.010000
all sells,0xe5708a1a592904bf3c74a0c0c0ac0a67fcfc5143e6e03a563b4a0fab26c1ed6a,2,0.180000
all sells,0x1082aed19d31e489c485e05d8a910e88f14cff58908ff2881c75edb2efd50825,2,0.300000
