game,event_slug,condition_id,team0,team1,series_winner,map1_winner,map2_winner,swept,volume_usd,token_id_yes,token_id_no,game_start_utc
cs2,cs2-furia-g2-2025-11-03,0x54621e1045b3a69d2d5091ff6f4be015ad206ce29adb08fda18510ffec9ef1b0,FURIA,G2,FURIA,FURIA,FURIA,t,45933,46223735246825030964745367485756655983351531894230538991247127658723956252622,24603182010103883664156357247916223831856458218907888356535699233461237587871,2025-11-04T02:00:00Z
cs2,cs2-lvg-3dmax-2025-11-03,0xaff8704a1e26737d050220463d224f4750592760aacc87b00cd65df29aea8719,Lynn Vision,3DMAX,Lynn Vision,Lynn Vision,3DMAX,f,73624,34464275275396648328946632780271471774883279087100275565464155159455197174934,90520792474493744226229419516005470813338586599309997343488371053529678976455,2025-11-04T02:00:00Z
cs2,cs2-faze-vp-2025-11-04,0x02afcf7b5de4d29e8a01c5e01b9c0a31209a19ad5e8444985fd1ce329b13d32d,FaZe,Virtus.pro,Virtus.pro,FaZe,Virtus.pro,f,116406,86885973713820773312742326438087314977461075197834664044564909514827656212171,80428224530482307178810520073293246881155978017163636463791960604295709219155,2025-11-04T04:30:00Z
cs2,cs2-mouz-vit-2025-11-04,0x2d5257f569c3fe7359b402799ad90d481d6523f853b680ce8a1e920b9e7d5ea6,MOUZ,Vitality,MOUZ,MOUZ,Vitality,f,153801,51896664887480436187249818411207377849502605983237657267581025054437013940888,61871435300615876680131909917606782578381620143059004431312288374515690978914,2025-11-04T04:30:00Z
cs2,cs2-hero-navi-2025-11-04,0x2d90e06ffd92d694525be3a0b01120f0ad126c7194a58b6932ddae6776e5b946,Heroic,Natus Vincere,Heroic,Natus Vincere,Heroic,f,126567,58976182688044588013856094432353109357195314637078253033652360162936858221228,26940887261366141633395963103918611013051626026596044472809321296955879952759,2025-11-04T07:00:00Z
cs2,cs2-mglz-ast10-2025-11-04,0x0c9a4f5c84ba8a7b39d539c0a18073de8e6731f43a07632330e2380b8ff39a36,TheMongolz,Astralis,Astralis,Astralis,Astralis,t,123330,59498483369125750683118851820296183491210527072702111396879383647939605449571,60320931192963953041730175507312010689811253876160578682863331884802347174181,2025-11-04T07:00:00Z
cs2,cs2-fal2-ts7-2025-11-04,0xdfea5d02f074087f30cb46cdf7458546d6baaf22b43b6d696c915007a91c6941,Team Falcons,Spirit,Team Falcons,Team Falcons,Team Falcons,t,131215,37196747048553436256220537765729634420393133255014750830043783785211425870362,79336615703860781680354585297534204232945840185742252514144136269859437023595,2025-11-04T09:30:00Z
cs2,cs2-tyloo-pain-2025-11-04,0x26ecba64018acd47a1111322acdc9ad49e8263962364f29bfa4c2f0f4d21b908,TYLOO,paiN,paiN,paiN,paiN,t,34857,22011932611401719713128891740183815323423330989897722518111348593303773697289,43116292793283205172821814466361216785326582507065390056231582604972280047146,2025-11-04T09:30:00Z
cs2,cs2-g2-vp-2025-11-05,0x3d18179e2a22f33056aab4bb508f2410b79d686cf511ed3408e093ee48668843,G2,Virtus.pro,G2,Virtus.pro,G2,f,134184,88466749664724141952916696405103152339502321421584705633269479782159823629017,18338861180506569672889515742749394863992741675932298052306035490788341274584,2025-11-05T02:00:00Z
cs2,cs2-lvg-vit-2025-11-05,0xcff6a2cfb7317bb5b2f71098fcf02c511fd02998a9a10b4daa5747eb67e33070,Lynn Vision,Vitality,Vitality,Vitality,Vitality,t,46736,109088037730359890518352820667148597943015185372697344463913171292503624192037,113985345291698435341887434040157780602738087950501423455617394246992170256707,2025-11-05T02:00:00Z
cs2,cs2-mglz-pain-2025-11-05,0xbd7420a3b47574fbc98cd9f19ffce924f4da54170c4ff45b50941331a74a180f,TheMongolz,paiN,TheMongolz,paiN,TheMongolz,f,235812,18411501698657032939869260745561379660228077477994560754202417016550127493627,28560876985437331017837998260744997259164955595670685213990830714053039445504,2025-11-05T04:30:00Z
cs2,cs2-ts7-hero-2025-11-05,0x5d1859af5433cc6a3fbee3c70a085188f31389791db4cd3f15987f0e2319c006,Spirit,Heroic,Spirit,Heroic,Spirit,f,82554,25102190098325794556724937806035458357542422893479260277264207157342198278440,84995279496457978428734052755825912884001793997495903450237603676190088566416,2025-11-05T04:30:00Z
cs2,cs2-furia-mouz-2025-11-05,0xa9328cce80e2206584aa3d9064ed65a62773d1ed587b64cad02fc8ec57e2a386,FURIA,MOUZ,MOUZ,MOUZ,FURIA,f,186714,89421083007899501972866424690867114808888285001442796427999202132095299031170,39265326343958635759633837999719710355298574317637766963656312380829301063056,2025-11-05T07:00:00Z
cs2,cs2-vit-g2-2025-11-05,0xffdfeb963a62ad8211b82dfe5b6c51277f42ee0217c8b8130ec7d51c6c74828d,Vitality,G2,Vitality,Vitality,Vitality,t,132398,54434456621545239929277729567400474269867742991657098012765906393988255363238,103211916104668608990707244793711426600358595724715521017795709300897654527151,2025-11-05T07:00:00Z
cs2,cs2-ast10-fal2-2025-11-05,0xcd673d2087d3ccf24520cfa60db8b598e2dfc6c334b10a61c399f66ea0dd5860,Astralis,Team Falcons,Team Falcons,Team Falcons,Team Falcons,t,134969,107845382818588466075122876179517022465701296627236332968761590299599428827131,68384596418108050204315716969047819195893085141417887876058166492587773838536,2025-11-05T09:30:00Z
cs2,cs2-ts7-mglz-2025-11-05,0xe02931d2a9ae6b263869c106f56540bb418de6e5dc2e492cfc7c48a85b740aef,Spirit,TheMongolz,TheMongolz,TheMongolz,Spirit,f,164632,109456082056731166772862592053939384666219138838652068171568208375378608915631,65909550007386746020852815011445347919378962545668801567195033977718969236257,2025-11-05T11:30:00Z
cs2,cs2-mnte-ntr-2025-11-06,0x1c927d492da7d00313eef1154a59e1894a4d0a5d7746502aff6e3bac53d6baa0,Monte,Nuclear TigeRES,Nuclear TigeRES,Nuclear TigeRES,Nuclear TigeRES,t,2674,76306010988591901772125686877639746010437170192611724649926717518886153710070,79856732076112203477849404855354408157791407240722450939160442681211230454058,2025-11-06T18:30:00Z
cs2,cs2-vit-ast10-2025-11-07,0xc00ff0b54a04a833545f93c0b491b734e1f388d5bf9b62db9ef38ab5d68c517f,Vitality,Astralis,Vitality,Vitality,Astralis,f,241181,6255279213368155311746265666757449957400804394267755296565702030707112624552,30351242759355254033122752432890924372980426474785263269186742240960254235463,2025-11-07T06:30:00Z
cs2,cs2-bet-cs1-2025-11-07,0xcb3cd9953de173093ff7a8a4c484f1b3760d614e5e9a2de280a320b8a507bf10,Betera Esports,CYBERSHOKE Esports,Betera Esports,Betera Esports,Betera Esports,t,8021,57057431334864061907026611543239795605961308185940333098201019498866507777702,63734051746601272247628200839630884652691943200345615837850429545946885570884,2025-11-07T09:30:00Z
cs2,cs2-furia-mglz-2025-11-07,0x7900b53245da65a5969e32c44255c04b755a7ec221287a374f9d12553a8fa034,FURIA,TheMongolz,FURIA,FURIA,FURIA,t,159158,76767933611067220154165691479662784851796254951874860683441733706335360704475,6412204954199141286504614479347038020714013569708394575190074482461613427344,2025-11-07T09:45:00Z
cs2,cs2-ecs-500-2025-11-07,0xe2093c689884a664b9b39b70bb406fe5d2180e85b41066f47cc20c4f8a9c8e91,ECSTATIC,500,500,500,500,t,3793,95421061838974898472295607168855419689282046601099324356268039279668611315475,104538135620139747285710516344478931577879933272290201463147971534763382695968,2025-11-07T12:30:00Z
cs2,cs2-nemi1-nxs1-2025-11-07,0xb4d991335d033f014a33628e950a240754a5f0e3439afd117d065418f5f8c89b,Nemiga,Nexus,Nemiga,Nemiga,Nemiga,t,6257,58018560152969809123191888402788636306027723599911933122548711032600090626933,92289060731073206127517454434980380698372711554184134163173589403072594215928,2025-11-07T15:30:00Z
cs2,cs2-vnm-arc4-2025-11-07,0x58fa6dcc621ec84f5c3effe7dfa8075f597c42ea0008f851e3a074d4c76d365c,Venom,ARCRED,Venom,Venom,Venom,t,6374,13598453939231362896290338878834435308233913924586056442518414975895587596610,76444617520099828687973820298709704150901303966669019809484283518297795110581,2025-11-07T18:30:00Z
cs2,cs2-vit-mouz-2025-11-08,0xa52d97334cb189b3517bf4e2d34bcbe66f52617f601f15280c6963d4d337542e,Vitality,MOUZ,Vitality,Vitality,MOUZ,f,254369,2922342199270204155452120577011449360800409000449777937246277864152132483977,12894292296550664054193285942492746726898534349810436718535907053038660264270,2025-11-08T06:30:00Z
