condition_id,event_slug,league,season_type,neutral_site,game_start_utc,favorite,underdog,favorite_price,favorite_won,favorite_is_home,favorite_day_before_price,favorite_score,underdog_score,volume_usd
0x67fa536f0656849558b515fc5ea695dddb24a3677315c00517b25390ada9531d,nfl-kc-bal-2024-09-05,nfl,2,0,2024-09-06T00:20:00Z,Chiefs,Ravens,0.575,1,1,0.585,27,20,357729.0
0xabb102227925a54804e3bf05e074e8065251bd34d23ded396252118b891216aa,nfl-phi-gb-2024-09-06,nfl,2,1,2024-09-07T00:15:00Z,Eagles,Packers,0.535,1,1,0.555,34,29,429116.0
0xbf9e9ec65dde46de974233c8521c11900ed79c5d5a7efa7f5e057a799e6ac075,nfl-atl-pit-2024-09-08,nfl,2,0,2024-09-08T17:00:00Z,Falcons,Steelers,0.645,0,1,0.645,10,18,173139.0
0xf3a8040acb7eaad81bb683dce8abb999921114c8a20003b745db93a8b8c23e3e,nfl-buf-ari-2024-09-08,nfl,2,0,2024-09-08T17:00:00Z,Bills,Cardinals,0.725,1,1,0.715,34,28,167536.0
0xe9f3b8c276c31b82fafc0664892ec1418973a8a2b42804bd9533571288cff543,nfl-chi-ten-2024-09-08,nfl,2,0,2024-09-08T17:00:00Z,Bears,Titans,0.65,1,1,0.615,24,17,140677.0
0xb660bc7638057be462e8a0a5d902e4a4067165ecc478128e2722aa430c29dc4d,nfl-cin-ne-2024-09-08,nfl,2,0,2024-09-08T17:00:00Z,Bengals,Patriots,0.775,0,1,0.775,10,16,157796.0
0x216c3740661ac7f68a60c329fb7ee648553b995b04efa865d7e1c1388c46acb8,nfl-ind-hou-2024-09-08,nfl,2,0,2024-09-08T17:00:00Z,Texans,Colts,0.595,1,0,0.595,29,27,76738.0
0xc56a15f5807c6b385c4455ae939f0c4eaa188cb3864dc42431227d64520cea04,nfl-mia-jax-2024-09-08,nfl,2,0,2024-09-08T17:00:00Z,Dolphins,Jaguars,0.635,1,1,0.615,20,17,119288.0
0x33b9d78c22e386934619b56f364add2575bd52ee65efce66d81cb2b9ce02d176,nfl-no-car-2024-09-08,nfl,2,0,2024-09-08T17:00:00Z,Saints,Panthers,0.65,1,1,0.645,47,10,115094.0
0xffc57722ef27e8bd300466527140b98650feb700f47e25b0242a4e8e2f55ded1,nfl-lac-las-2024-09-08,nfl,2,0,2024-09-08T20:05:00Z,Chargers,Raiders,0.59,1,1,0.595,22,10,95873.0
0x8a01543e2814dce9a9ea5a01af633656db4c799058c5c61e3b66fb6a51749e2c,nfl-sea-den-2024-09-08,nfl,2,0,2024-09-08T20:05:00Z,Seahawks,Broncos,0.715,1,1,0.705,26,20,147685.0
0xbb7f1a9cc64c8a6a2716984b7bc476f2187eac544bc761322cb25466c3411af1,nfl-cle-dal-2024-09-08,nfl,2,0,2024-09-08T20:25:00Z,Browns,Cowboys,0.525,0,1,0.565,17,33,118457.0
0x4184b911bde81c5dec5a972626640ebcd522eb2e47f5dccbf2d77f229d4f6ed9,nfl-tb-wsh-2024-09-08,nfl,2,0,2024-09-08T20:25:00Z,Buccaneers,Commanders,0.655,1,1,0.63,37,20,136862.0
0x1d517b0f8156207d3cdbd6a8691de86f2b013b3812c216100203c91f75ff08bb,nfl-det-lar-2024-09-08,nfl,2,0,2024-09-09T00:20:00Z,Lions,Rams,0.71,1,1,0.665,26,20,329714.0
0x5906417c5adbafee37c4ecbb89a5ec860930a135d42a9f18ad1163ed7b08539a,nfl-sf-nyj-2024-09-09,nfl,2,0,2024-09-10T00:20:00Z,49ers,Jets,0.635,1,1,0.645,32,19,890024.0
0xca4898518746987457d80d96f7531b918414f8b1b9d361e6d011461d07201be4,nfl-mia-buf-2024-09-12,nfl,2,0,2024-09-13T00:15:00Z,Dolphins,Bills,0.555,0,1,0.56,10,31,544875.0
0xfec0062eb32622dd29fd82d3e6e90e4907021e166636b915880d3085c0a7751d,nfl-bal-las-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Ravens,Raiders,0.805,0,1,0.795,23,26,87643.0
0x99e65b09100575db283ecae76910312cbd66c1d4fe9e2459a22135bb51a7077e,nfl-car-lac-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Chargers,Panthers,0.6699999999999999,1,0,0.685,26,3,74360.0
0x017df324230a7e4f2792536319803e995afac1e3d8b2da946612d5a5233f7d41,nfl-dal-no-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Cowboys,Saints,0.715,0,1,0.71,19,44,97556.0
0xb8af154cab512b8323367dba0620040f1c39281b2f66e36f4f3559814dd015c4,nfl-det-tb-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Lions,Buccaneers,0.765,0,1,0.76,16,20,66095.0
0x62a027ebe52693150b0bf6fffe69ed065ef269ae392418576abcd8df3fe521a3,nfl-gb-ind-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Colts,Packers,0.5549999999999999,0,0,0.5700000000000001,10,16,69476.0
0xc72e7716ef254edc034a6c25ab6d8791ee9f858394851c6de00e24cf774d6024,nfl-jax-cle-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Jaguars,Browns,0.61,0,1,0.595,13,18,67541.0
0xa84e39e7407fe99b0bd40044ebb384bca68b74bc0ddc47a771e9feeb0b262c02,nfl-min-sf-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,49ers,Vikings,0.6599999999999999,0,0,0.675,17,23,125453.0
0xe65e20750773b7d1d006b90697b0affc8946cbc673c4f921b08f14f8fc70ad3e,nfl-ne-sea-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Seahawks,Patriots,0.6,1,0,0.62,23,20,75264.0
0xf77eb0eefbb6f4f3160b1a7bae3da902f1297786be7cb74797c2788f3c1dd444,nfl-ten-nyj-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Jets,Titans,0.645,1,0,0.635,24,17,96113.0
0x1de298f909a4d4b4b42c2f428c5d028dbc0c8c606cfd692aa116c69a4ab63346,nfl-wsh-nyg-2024-09-15,nfl,2,0,2024-09-15T17:00:00Z,Commanders,Giants,0.525,1,1,0.53,21,18,63213.0
0x31233564f67d76c00bd9fe2bf0d4fd9490d0988d2633bb5303088ac86a9782b1,nfl-ari-lar-2024-09-15,nfl,2,0,2024-09-15T20:05:00Z,Rams,Cardinals,0.515,0,0,0.49,10,41,103455.0
0x4ba4df57f1b400a5eeb1ac62f2e684bca2f3bc5843b9f2f07125334f4f7747dc,nfl-den-pit-2024-09-15,nfl,2,0,2024-09-15T20:25:00Z,Steelers,Broncos,0.5800000000000001,1,0,0.5700000000000001,13,6,73451.0
0x0f57082a94f7dc3c3bd2bea1dc5f55c7b3f4b1886254027ba1ac314d40bf201f,nfl-kc-cin-2024-09-15,nfl,2,0,2024-09-15T20:25:00Z,Chiefs,Bengals,0.725,1,1,0.705,26,25,304397.0
0x83c0226137dd64d6bfc583aebd16950e4d16ddc6a6da785dcd5c3805dff2d0e6,nfl-hou-chi-2024-09-15,nfl,2,0,2024-09-16T00:20:00Z,Texans,Bears,0.725,1,1,0.72,19,13,400680.0
0x54eff4c60c8b11048ba974f9bb96234b682c2c565b645b4edecc6234c5ae5cda,nfl-phi-atl-2024-09-16,nfl,2,0,2024-09-17T00:15:00Z,Eagles,Falcons,0.695,0,1,0.705,21,22,375113.0
