group,condition_id,n,sum_edge
All leagues | Away,0x002e73c0245559a035deb8aeea455644f25ca029190d5e9e8ecb2fddbf941d0a,4,-1.570000
All leagues | Away,0x0030225d82497afb2b647f89397be1c9f24deb2acc700ed2da423dfdf7e18a13,3,1.860000
All leagues | Away,0x0041f2576b8fb86ca9fe57896dd671db1a5df2b314a23201840d4af278a183dd,5,1.541273
All leagues | Away,0x0044717447f885ed54508627145cbf1ac113566c79af55428175f6d0c776949c,32,-18.132532
All leagues | Away,0x006a87540dbfafe19a9d13d2622c4e01873150ff22f05a664574c469abc3dc60,140,31.326449
All leagues | Away,0x0080d713f1f5a0fb730e7a2cf7e64d583594a35ef95bdab366cb14fff3a3cd1f,3,0.540000
All leagues | Away,0x00a07f1e0995e5a832efb9db62294d6b1cc58ad2aedef7973d85391a9274fc2c,3,1.130000
All leagues | Away,0x00a9b83dab39ea7a5b47be41356d18f885aeed9685c4149362f9ed0283ef541b,15,6.251705
All leagues | Away,0x00bc8bd389db75d603f4361a8f855e45db57e71f08a86fed78c1d19bd7f84daf,18,7.207133
All leagues | Away,0x00be5f60170d738599c542943a833939be1aa6f6b2f6fab41eef6384437790bd,13,4.670600
All leagues | Away,0x00c6c79ff3d1bd72e46d02725579673757f0b3593fc6c26cb6f10363a9a759e1,15,5.815067
All leagues | Away,0x00cb155d600f0f7641bfb677a564ba842fa76017075486b6ddc558e66a5d7d5b,23,9.258944
All leagues | Away,0x00df3496bb591778fed988eddbfdbcf8f1f4c5bb8120e565a572d68c611896bc,7,2.244881
All leagues | Away,0x00e5c807d5b17f61e851b245ff2310188c3409ac8983b2d978990f4666e44d5a,19,-2.825230
All leagues | Away,0x00e74603990a4430b2a8bdb57f53a7da56d10a77c0a0f61fabe86bc27e2cd441,1,-0.379504
All leagues | Away,0x00fa5a7cc470d6a0ef10844eb28c48f84673d0db8a71fb63b2efb14fef664c32,1,-0.236465
