condition_id,event_slug,league,away,home,game_start_utc,winning_outcome,final_candidates,espn_id,espn_start_utc,hours_from_start,season_type,neutral_site,away_score,home_score,away_is_away,winner_agrees
0x5de0620798bee8e21ca383161d2c22f04d8d5a1bb0699d086791a0facc3a9837,cfb-ncst-wake-2025-09-11,cfb,North Carolina State,Wake Forest,2025-09-11T23:30:00Z,0,1,401754531,2025-09-11T23:30Z,0.0,2,0,34,24,1,1
0xf1b72e9bb00bd6a519b17f51c14c4211b2983b0f10f5d9aee6dcc3b8a700ff04,cfb-col-hou-2025-09-12,cfb,Colorado,Houston,2025-09-12T23:30:00Z,1,1,401756893,2025-09-12T23:30Z,0.0,2,0,20,36,1,1
0x9a2c2ffe8b7d60010b225f98377754d863fff5a2ea830f8b8558177fac2f0af1,cfb-ksu-ariz-2025-09-12,cfb,Kansas State,Arizona,2025-09-13T01:00:00Z,1,1,401756888,2025-09-13T01:00Z,0.0,2,0,17,23,1,1
0xef962d69bb9b48628ed81f0c41e401fa6f99e8a16e05e20651586d009fdc17bf,cfb-unm-ucla-2025-09-12,cfb,New Mexico,UCLA,2025-09-13T02:00:00Z,0,1,401752837,2025-09-13T02:00Z,0.0,2,0,35,10,1,1
0x3e3e0ade855d6f9bcfd83f174acc0492bb34f473cfa3dd372c5d558d97d3f37d,cfb-buf-kent-2025-09-13,cfb,Buffalo,Kent State,2025-09-13T16:00:00Z,0,1,401762817,2025-09-13T16:00Z,0.0,2,0,31,28,1,1
0x8cb9e4da52c62f1a8ab04ce8deecd98cfc1953ef1f669d5a4d63c7adced3eb02,cfb-clem-gt-2025-09-13,cfb,Clemson,Georgia Tech,2025-09-13T16:00:00Z,1,1,401754623,2025-09-13T16:00Z,0.0,2,0,21,24,1,1
0xc2c4838ebe520355361bd69a9a81ee88f1383ae3aff4acb0ed70388a4f4fba14,cfb-cmu-mich-2025-09-13,cfb,Central Michigan,Michigan,2025-09-13T16:00:00Z,1,1,401752839,2025-09-13T16:00Z,0.0,2,0,3,63,1,1
0x21ed1849725e328ad0d7f83a858df5ef2487eab5530c6669739405be6d993cdc,cfb-mem-troy-2025-09-13,cfb,Memphis,Troy,2025-09-13T16:00:00Z,0,1,401761608,2025-09-13T16:00Z,0.0,2,0,28,7,1,1
0x22d4a4f67983a4dddc118b0791bc5f2019f847719d1ff1461679ed3579e7e3d2,cfb-okla-tem-2025-09-13,cfb,Oklahoma,Temple,2025-09-13T16:00:00Z,0,1,401752703,2025-09-13T16:00Z,0.0,2,0,42,3,1,1
0xc1713d44821cfe9325e9ec5c728aafb842857e0d83e88fe70d7817153db44dbe,cfb-oreg-nwest-2025-09-13,cfb,Oregon,Northwestern,2025-09-13T16:00:00Z,0,1,401752831,2025-09-13T16:00Z,0.0,2,0,34,14,1,1
0x589a832eace43d246cdd4508088cc2807286e995e72437a17990e76b8c63c878,cfb-wis-bama-2025-09-13,cfb,Wisconsin,Alabama,2025-09-13T16:00:00Z,1,1,401752696,2025-09-13T16:00Z,0.0,2,0,14,38,1,1
0xc836e19aeaf4c86df770509ae9778f7d22055d31e7df375e691202d6316af6dc,cfb-sbama-aub-2025-09-13,cfb,South Alabama,Auburn,2025-09-13T16:45:00Z,1,1,401752697,2025-09-13T16:45Z,0.0,2,0,15,31,1,1
0x42c89ea1e269d01d4649ccd9c7cb8298e1b16d90dd2d1c0dd3f2f1d09e6743e4,cfb-orst-ttu-2025-09-13,cfb,Oregon State,Texas Tech,2025-09-13T19:30:00Z,1,1,401752938,2025-09-13T19:30Z,0.0,2,0,14,45,1,1
0x65f7bb9082a6c283ef8facf64a6befee0b033249cb3f1920724f41bf956b4b38,cfb-pitt-wvu-2025-09-13,cfb,Pittsburgh,West Virginia,2025-09-13T19:30:00Z,1,1,401754638,2025-09-13T19:30Z,0.0,2,0,24,31,1,1
0xdfc6409d7a2ada81f66c4c0f5750acdc7b7fca8967cbf7c94291c0a9f4e4c259,cfb-uga-tenn-2025-09-13,cfb,Georgia,Tennessee,2025-09-13T19:30:00Z,0,1,401752705,2025-09-13T19:30Z,0.0,2,0,44,41,1,1
0xfa7ed6fbf869842736bce0b13878f5add5249c2ebf3c39f4e324457c9d4912ad,cfb-usc-purd-2025-09-13,cfb,USC,Purdue,2025-09-13T19:30:00Z,0,1,401752832,2025-09-13T22:45Z,3.25,2,0,33,17,1,1
0xc9fba0042f7f793fb896167ac96457637f616d243de5b2086324510300fc33a0,cfb-wsu-unt-2025-09-13,cfb,Washington State,North Texas,2025-09-13T19:30:00Z,1,1,401752949,2025-09-13T19:30Z,0.0,2,0,10,59,1,1
0x681017130b6ebd5f1ed595be515d7d649356336fa013a3ff9bf4e141d239990f,cfb-isu-arst-2025-09-13,cfb,Iowa State,Arkansas State,2025-09-13T20:00:00Z,0,1,401756890,2025-09-13T20:00Z,0.0,2,0,24,16,1,1
0xb2b47e105e637e6d61ca7788ce57f5b40bb9fac2874ffb9a09cc41afcf12dd58,cfb-ull-mizz-2025-09-13,cfb,Louisiana,Missouri,2025-09-13T20:00:00Z,1,1,401752702,2025-09-13T17:00Z,3.0,2,0,10,52,1,1
0xb9313af5407d88e184a596b97b563018a06a0a413fdea2d4b248178553943d64,cfb-utep-tex-2025-09-13,cfb,UTEP,Texas,2025-09-13T20:15:00Z,1,1,401752706,2025-09-13T20:15Z,0.0,2,0,10,27,1,1
0x37a1e6c1123e23cc6693c6ad647e3a15d5032b0a82a8117492886590cf45c211,cfb-usf-miami-2025-09-13,cfb,South Florida,Miami,2025-09-13T20:30:00Z,1,1,401754535,2025-09-13T20:30Z,0.0,2,0,12,49,1,1
0x35478b10d63322ce3942a62597fd93a48c0c00ae87e93c5b53de31c57c9393c5,cfb-lib-bgsu-2025-09-13,cfb,Liberty,Bowling Green,2025-09-13T21:00:00Z,1,1,401757256,2025-09-13T21:00Z,0.0,2,0,13,23,1,1
0x4d3c0ee8f018b42a2613e8397e8ac36dcbde15469f4d78548fa1848015f4a88f,cfb-mtsu-nev-2025-09-13,cfb,Middle Tennessee,Nevada,2025-09-13T21:00:00Z,0,1,401757258,2025-09-13T21:00Z,0.0,2,0,14,13,1,1
0x2aebb5759a8b910377bf7b7cea49a220a706f9d9cffa0d07ec3ff399ac1e3c87,cfb-fau-fiu-2025-09-13,cfb,Florida Atlantic,Florida International,2025-09-13T22:00:00Z,1,1,401757233,2025-09-14T00:30Z,2.5,2,0,28,38,1,1
