event_slug,sport,game_date,lines,unders,main_line,main_under,main_volume_usd,middle_under
arg-bar-cas-2026-04-02-more-markets,Soccer,2026-04-02,4,2,2.5,0,24576,0.50
arg-tal-boc-2026-04-02-more-markets,Soccer,2026-04-02,4,4,1.5,1,8267,1.00
arg-tig-riv1-2026-04-02-more-markets,Soccer,2026-04-02,4,3,1.5,0,87572,1.00
aus-bri-syd-2026-04-02-more-markets,Soccer,2026-04-02,4,4,3.5,1,58207,1.00
aus-mac-new-2026-04-02-more-markets,Soccer,2026-04-02,4,0,3.5,0,49188,0.00
bra-cha-cam-2026-04-02-more-markets,Soccer,2026-04-02,4,1,3.5,0,55236,0.00
bra-flu-cor1-2026-04-01-more-markets,Soccer,2026-04-02,4,1,2.5,0,47141,0.00
bra-san-cre-2026-04-02-more-markets,Soccer,2026-04-02,4,3,2.5,1,167582,1.00
bra2-ber-ope-2026-04-02-more-markets,Soccer,2026-04-02,4,2,3.5,1,2195,0.50
bra2-pop-csc-2026-04-01-more-markets,Soccer,2026-04-02,4,3,1.5,0,1136,1.00
cbb-bayl-minnst-2026-04-01,Basketball,2026-04-02,3,3,148.5,1,18200,1.00
cbb-nmx-tulsa-2026-04-02,Basketball,2026-04-02,8,8,160.5,1,19362,1.00
cbb-okl-col-2026-04-01,Basketball,2026-04-02,5,0,165.5,0,12337,0.00
col1-ad1-cab-2026-04-02-more-markets,Soccer,2026-04-02,4,3,1.5,0,7737,1.00
col1-atn-cdf-2026-04-01-more-markets,Soccer,2026-04-02,3,3,1.5,1,5116,1.00
col1-bcf-dep-2026-04-02-more-markets,Soccer,2026-04-02,4,4,1.5,1,24500,1.00
col1-jdc-mif-2026-04-02-more-markets,Soccer,2026-04-02,4,4,2.5,1,5706,1.00
cs2-100t-acroba-2026-04-02,Esports,2026-04-02,1,0,2.5,0,1908,0.00
cs2-100t-lavked-2026-04-02,Esports,2026-04-02,1,0,2.5,0,7863,0.00
cs2-9ine-m8-2026-04-02,Esports,2026-04-02,1,0,2.5,0,11929,0.00
cs2-9z-odk-2026-04-02,Esports,2026-04-02,1,0,2.5,0,1269,0.00
cs2-aab-bb7-2026-04-02,Esports,2026-04-02,1,0,2.5,0,743,0.00
cs2-aab-inf6-2026-04-02,Esports,2026-04-02,1,0,2.5,0,179,0.00
cs2-ast-meg1-2026-04-02,Esports,2026-04-02,1,0,2.5,0,856,0.00
cs2-bst-3dmax-2026-04-02,Esports,2026-04-02,1,0,2.5,0,562,0.00
cs2-bst-b8-2026-04-02,Esports,2026-04-02,1,0,2.5,0,276,0.00
cs2-crash-shin-2026-04-02,Esports,2026-04-02,1,1,2.5,1,311,1.00
cs2-ctg-lb-2026-04-02,Esports,2026-04-02,1,0,2.5,0,105,0.00
cs2-cw-5s-2026-04-02,Esports,2026-04-02,1,0,2.5,0,351,0.00
cs2-cyb-ep-2026-04-02,Esports,2026-04-02,1,0,2.5,0,325,0.00
cs2-don-tlr-2026-04-02,Esports,2026-04-02,1,1,2.5,1,21,1.00
cs2-ecs-ursa-2026-04-02,Esports,2026-04-02,1,0,2.5,0,494,0.00
cs2-fal-b8-2026-04-02,Esports,2026-04-02,1,0,2.5,0,515,0.00
cs2-farmvi-lag-2026-04-02,Esports,2026-04-02,1,1,2.5,1,2154,1.00
cs2-fdb-ldp-2026-04-02,Esports,2026-04-02,1,0,2.5,0,692,0.00
cs2-g2-bb3-2026-04-02,Esports,2026-04-02,1,0,2.5,0,6522,0.00
cs2-gg5-yaw-2026-04-02,Esports,2026-04-02,1,1,2.5,1,231,1.00
cs2-gh-yaw-2026-04-02,Esports,2026-04-02,1,1,2.5,1,101,1.00
cs2-gl1-nip-2026-04-02,Esports,2026-04-02,1,0,2.5,0,6493,0.00
cs2-ill-ntr-2026-04-02,Esports,2026-04-02,1,0,2.5,0,5256,0.00
cs2-imp11-bhe-2026-04-02,Esports,2026-04-02,1,0,2.5,0,215,0.00
cs2-k271-mgc-2026-04-02,Esports,2026-04-02,1,1,2.5,1,9205,1.00
cs2-keyd-fdb-2026-04-02,Esports,2026-04-02,1,1,2.5,1,115,1.00
