grp,event_slug,n,sum_edge
Baseball Over,mlb-ari-atl-2026-08-16,1,-0.460000
Baseball Over,mlb-ari-bal-2026-04-13,8,3.674067
Baseball Over,mlb-ari-bal-2026-04-14,28,-14.430850
Baseball Over,mlb-ari-bos-2026-08-19,2,1.100000
Baseball Over,mlb-ari-chc-2026-05-01,4,2.240000
Baseball Over,mlb-ari-chc-2026-05-03,5,1.957779
Baseball Over,mlb-ari-cin-2026-06-12,8,0.185371
Baseball Over,mlb-ari-cin-2026-06-13,7,-3.550000
Baseball Over,mlb-ari-col-2026-05-15,8,-4.090000
Baseball Over,mlb-ari-col-2026-05-16,12,-5.804640
Baseball Over,mlb-ari-col-2026-05-17,5,2.690000
Baseball Over,mlb-ari-lad-2026-07-10,4,1.927026
Baseball Over,mlb-ari-lad-2026-07-11,1,0.330002
Baseball Over,mlb-ari-lad-2026-07-12,3,-1.369826
Baseball Over,mlb-ari-mia-2026-06-09,5,1.513841
Baseball Over,mlb-ari-mia-2026-06-11,2,-1.010000
Baseball Over,mlb-ari-nym-2026-04-07,17,-7.737830
Baseball Over,mlb-ari-nym-2026-04-08,3,0.913479
Baseball Over,mlb-ari-nym-2026-04-09,14,6.879321
Baseball Over,mlb-ari-phi-2026-04-10,13,7.074300
Baseball Over,mlb-ari-phi-2026-04-11,24,-12.489856
Baseball Over,mlb-ari-phi-2026-04-12,5,-2.709198
Baseball Over,mlb-ari-pit-2026-07-28,1,0.540000
Baseball Over,mlb-ari-sd-2026-07-06,2,-0.999993
Baseball Over,mlb-ari-sd-2026-07-09,1,-0.290000
Baseball Over,mlb-ari-sea-2026-05-29,8,3.185725
Baseball Over,mlb-ari-sea-2026-05-30,9,-3.124359
Baseball Over,mlb-ari-sea-2026-05-31,2,-0.950000
Baseball Over,mlb-ari-sf-2026-05-25,2,0.020000
Baseball Over,mlb-ari-sf-2026-05-26,4,2.030000
Baseball Over,mlb-ari-sf-2026-05-27,7,-3.612955
Baseball Over,mlb-ari-stl-2026-06-22,1,-0.547956
Baseball Over,mlb-ari-stl-2026-06-25,2,1.360000
Baseball Over,mlb-ari-tb-2026-06-26,6,-2.040000
Baseball Over,mlb-ari-tb-2026-06-27,4,-1.049999
Baseball Over,mlb-ari-tb-2026-06-28,2,-1.060000
Baseball Over,mlb-ari-tex-2026-05-12,2,0.970000
Baseball Over,mlb-ari-tex-2026-05-13,3,1.572762
Baseball Over,mlb-ari-wsh-2026-07-24,1,-0.630173
Baseball Over,mlb-atl-ari-2026-04-02,8,4.260000
Baseball Over,mlb-atl-ari-2026-04-03,3,-1.399459
Baseball Over,mlb-atl-ari-2026-04-04,2,-1.039802
Baseball Over,mlb-atl-ari-2026-04-05,1,0.470531
Baseball Over,mlb-atl-bos-2026-05-26,4,1.960000
Baseball Over,mlb-atl-bos-2026-05-28,4,1.829013
Baseball Over,mlb-atl-cin-2026-05-29,3,1.510000
Baseball Over,mlb-atl-cin-2026-05-30,1,-0.490000
Baseball Over,mlb-atl-cin-2026-05-31,9,4.241343
Baseball Over,mlb-atl-col-2026-05-01,1,0.470000
Baseball Over,mlb-atl-col-2026-05-03,2,1.100000
Baseball Over,mlb-atl-cws-2026-06-10,5,-2.712412
Baseball Over,mlb-atl-cws-2026-06-11,4,-2.080000
Baseball Over,mlb-atl-laa-2026-04-06,1,-0.440000
Baseball Over,mlb-atl-laa-2026-04-07,1,0.480000
Baseball Over,mlb-atl-laa-2026-04-08,1,0.054588
Baseball Over,mlb-atl-lad-2026-05-10,10,2.238110
Baseball Over,mlb-atl-mia-2026-05-18,1,0.510000
Baseball Over,mlb-atl-mia-2026-05-20,2,1.100553
Baseball Over,mlb-atl-mil-2026-08-21,2,-0.940000
Baseball Over,mlb-atl-mil-2026-08-23,1,-0.330000
Baseball Over,mlb-atl-min-2026-08-19,3,1.399044
Baseball Over,mlb-atl-nym-2026-06-12,1,0.530000
Baseball Over,mlb-atl-nym-2026-06-13,2,-0.980000
Baseball Over,mlb-atl-nym-2026-06-14,2,-1.269842
Baseball Over,mlb-atl-nym-2026-07-27,2,0.964649
Baseball Over,mlb-atl-nyy-2026-08-08,2,0.080708
Baseball Over,mlb-atl-nyy-2026-08-09,4,-2.030000
Baseball Over,mlb-atl-phi-2026-04-17,5,-2.455582
Baseball Over,mlb-atl-phi-2026-04-19,2,-0.890000
Baseball Over,mlb-atl-phi-2026-09-04,1,0.444897
Baseball Over,mlb-atl-phi-2026-09-07,2,-1.040000
Baseball Over,mlb-atl-pit-2026-07-09,2,0.940000
Baseball Over,mlb-atl-sd-2026-06-22,12,-6.040066
Baseball Over,mlb-atl-sd-2026-06-23,1,0.490000
Baseball Over,mlb-atl-sd-2026-06-24,1,-0.540000
Baseball Over,mlb-atl-sea-2026-05-05,3,-1.379168
Baseball Over,mlb-atl-sea-2026-05-06,2,-1.160000
Baseball Over,mlb-atl-sf-2026-06-26,6,-2.620000
Baseball Over,mlb-atl-sf-2026-06-28,1,-0.490000
Baseball Over,mlb-atl-stl-2026-07-12,1,-0.420000
Baseball Over,mlb-atl-wsh-2026-04-20,3,1.608174
Baseball Over,mlb-atl-wsh-2026-04-21,2,0.546852
Baseball Over,mlb-atl-wsh-2026-04-22,1,0.540000
Baseball Over,mlb-atl-wsh-2026-04-23,1,-0.490000
Baseball Over,mlb-atl-wsh-2026-09-02,3,-1.470000
Baseball Over,mlb-bal-bos-2026-06-02,1,-0.510000
Baseball Over,mlb-bal-bos-2026-06-03,3,1.430000
Baseball Over,mlb-bal-bos-2026-06-04,2,-1.260000
Baseball Over,mlb-bal-bos-2026-07-20,2,1.180000
Baseball Over,mlb-bal-bos-2026-07-22,1,-0.570000
Baseball Over,mlb-bal-cin-2026-07-03,3,-1.500000
Baseball Over,mlb-bal-cin-2026-07-04,1,0.520000
Baseball Over,mlb-bal-cle-2026-04-16,16,-4.859848
Baseball Over,mlb-bal-cle-2026-04-17,2,1.080033
Baseball Over,mlb-bal-cle-2026-04-18,4,-1.929080
Baseball Over,mlb-bal-cle-2026-04-19,2,0.883971
Baseball Over,mlb-bal-col-2026-08-31,1,-0.629131
Baseball Over,mlb-bal-col-2026-09-01,1,-0.720000
Baseball Over,mlb-bal-col-2026-09-02,4,-1.880000
Baseball Over,mlb-bal-cws-2026-04-06,8,-4.050004
Baseball Over,mlb-bal-cws-2026-04-07,29,-13.273712
