grp,condition_id,n,sum_edge
Baseball Over,0x006cd6f4798f7a1394adce281b53210111d3ec2198a5d9cd59dfc4f76a897a13,1,0.520000
Baseball Over,0x0071b2e6b69b2c0985f7d00f529bd9809e96f9d4dd5ca6aef3d86c695e718e00,3,1.690000
Baseball Over,0x008cd823ad13186e5017e6b635143a35283fe49f36428d95108bb378f44da998,2,-1.050000
Baseball Over,0x00b98429c93fc9e182d15c4072fa7c00ce01119322c158437255a8bc1f6a9a64,1,-0.553077
Baseball Over,0x00d22d8c0e5b66af8c6e3f0fd9b1c61dbdca903a7c45d475153cf152fa002047,3,1.496485
Baseball Over,0x00d4b07eaf076b738ae0cfd17b4fb76125b045eadc22f09d6249b9b34ca7542b,1,0.549777
Baseball Over,0x00dde710682a54f199f5e194d7f2f2b898e3b1fc56de391bf4e32aadd9fe393b,1,-0.520000
Baseball Over,0x00ff90f130926c2f92cbc9d21ef9049e49bd1e7f15d3ba17bf1401a08749e882,1,-0.530000
Baseball Over,0x0116659999335c64b68cc7e6db6bf93722af821ada1c22155b6a9f8564ac8580,2,-0.950000
Baseball Over,0x0139fc0555d1d27de4a84c0d63051a62b5767a00858dc26b57262ae10517ea38,5,2.470000
Baseball Over,0x0142fd332a383dbfa8af262420998c256f19d55280a761ae855469a1cb350290,1,0.440000
Baseball Over,0x01ae1901a88d2b02c3cf3e0d9f4b9c925c9ad6e49dc02b7359582e2550c7f600,1,0.500000
Baseball Over,0x01da8b2433b05bcfeb3114a9a9848c6e47c1c03a454529f1b6c4269d81558199,1,0.460000
Baseball Over,0x0210efe6093fc4a7b811590a2e7c5c0b139f4c73a0f98cba1292ad12c39853b0,1,0.400000
Baseball Over,0x023bd87765fd6d913b326c8d0975475f81032d66d4174a0e15ee6cfbf331f8d8,2,0.892038
Baseball Over,0x02967eae916c58a780cd0dbc87eadf00ff490286b465876eb2443db1416159fc,1,0.185759
Baseball Over,0x02a7e87d80dab860a4198c289baec8ee5052fad5b7a5a453c5544b5d8992b64e,5,-2.559471
Baseball Over,0x02e29587b5d7744a7e5994359c7072728b31c13af071853b0b1b0f584da29dca,3,1.074222
Baseball Over,0x031b7f567126597a8402018d47955e856254a19f982cec6add0c8f56886508e0,1,-0.480000
Baseball Over,0x03b52f4502261d62058b9caa0e2d3bad083059d9ec3c7cbcf6f33b69513a1d62,1,0.460000
Baseball Over,0x03c7881f6185bf4be3293d3c98dc20c10771c2fabd998007a8090c6f24863a67,1,-0.560000
Baseball Over,0x03d34e60e533b160f9588fdf6428cab536ba7ad854680bd098478568ec466c10,4,-1.900014
Baseball Over,0x047c72df5492e4b06ecce9879631de7cc88b30b3767f072de9efcbac01d8b1dd,2,1.120000
Baseball Over,0x04902a65e055235dcc6ed18c97a77270306ddf7e4ebb54a4b1b6d1a4c60eee6b,6,-2.770000
