grp,condition_id,n,sum_edge
D/F draw No,0x001649e0865024e6e86bc14c95de5dfd2dfec30513565d5cf3462faf9aa54d43,1,0.250000
D/F draw No,0x0061b1d4b49c44a05365d60389167968baf42f2b1ab99c3d8b80a8554980d9e8,15,2.890000
D/F draw No,0x017f79842c76a76ee2fd9d448b73cdfa85dcacd7d03c3b4c0a8e2663c4e84c27,12,-9.115467
D/F draw No,0x04f0f21d77609ef19ef1c36749a8f522e471802384f484b80de4f789b1a90bb4,15,3.280000
D/F draw No,0x06215a799ed95eb008eea3d8de97448c2030f8ec790547e6ce1bd9e974f9b70d,7,1.660000
D/F draw No,0x08ac1bbcff8c6bf57b9744970faf8ef8a97fefa20737480a53af4f8d398f5d26,17,-11.310000
D/F draw No,0x099d12093a6214e2dea67296c11dad775d0b3038c413731112a1c52ebd362adc,16,1.600000
D/F draw No,0x0a4b9beb6128863db2b107f185521597a426356f1d9a23c7001401edfd32014b,8,1.230000
D/F draw No,0x0ea55d012e501a500011f42067b140ee5dcb4c678c94401459962b3a841ac568,13,3.356103
D/F draw No,0x0f8de21a80996a54ced1327cbf4e0702d417e1f49ec6ebe267bc5664c7f36d90,4,1.140000
D/F draw No,0x0fac1fde9bf271efa6a8bcd382db88003f661f051ee7644c85ff96a6a4b2e57a,29,-20.960000
D/F draw No,0x10b4a49cc233715e3b2154533c654fcbdcac6c03b3b415611c5c014872e80b3b,11,2.990000
D/F draw No,0x11e4780f48d73417a4863618e288e78c8848e2ef4f744dca4cabdff154af5e3c,4,1.020000
D/F draw No,0x11e878643f63c75e36d58024033ae710c19e696f652fa05ba705ab019402a633,13,-10.337851
D/F draw No,0x1274ff7b8aefcb4eb2ffcd0b595cd0ee72e7b05a187b7c2333fd22cf53df9847,1,0.210000
D/F draw No,0x12c17c04d2e404bd85a8c65c04cd7e8799a6295c7f74414feec5e867fa40cc5a,7,1.660000
D/F draw No,0x16c51ebf6cea99ba2d958910e743690b40c46c2a426eab1709cd934d8364a96c,23,6.401293
D/F draw No,0x179c7dc229d757c7d1952235b0c9311e48b3437b34271248c0e3a6de366e22c9,4,1.099328
D/F draw No,0x17d821a9197f8de3acbb8a0140e70cea9461e95871c58ae7aa9c608d53ad00d0,6,-4.370000
D/F draw No,0x187651dbb617ad61b8c3342a4a61996273a6a206ff36405c37c5cf029c2f96bb,12,-8.709811
D/F draw No,0x18f73aca12019d3fc2a03e7af28f6ebcec12634413819605d7cfa3db20073f26,8,0.360010
D/F draw No,0x1a319ce803f4e711b25af81a1d8bfb59c5cc6e5ef09ac046fc65e652c98e714e,5,0.380000
D/F draw No,0x1caaf45567c222213672c396100098213e16ad349492581f791f2c0d58cce2b8,1,0.133494
D/F draw No,0x1f54c5d06e9e7a7a11ed24123ab5743ba5b525745cf1338b7ec23d371e6f55ea,20,7.070000
D/F draw No,0x2575e6ffba4b0221654217dc5cd283c969816a2f2ed4729b39276438e8609077,16,3.650000
D/F draw No,0x264e6793ab225b8fd861f13934ee8a826a864116e1dd727b38a65e2f7cd3f67c,22,4.639263
D/F draw No,0x26954c84bed166fa0da034c310e3bd62e7afa32d299314c352bc32eb08e5a210,6,1.630000
D/F draw No,0x28c19c840bd010dc279a8f14a417a9389c18801b271b407d7634425e8305de0b,19,3.790000
D/F draw No,0x2afe86f96be81a0d89ed776bedbd52d1c75bc47b49e6f0f791ddd009f52faf23,14,-8.970000
D/F draw No,0x2b4abd4c4f6336b33cdaf7aa65430ef1f4afe7122d1678b1f3d022b4357cdbf5,22,4.995979
D/F draw No,0x2b759e69e6b2f509efebfe969cd26ddf30b84242506ddb5ac1e9a8b36cac22a2,6,1.290000
D/F draw No,0x2d17b7b5c8701296c4348f016076a948f25cb83e23c8b863bfa1e22ed493ae53,8,1.803689
D/F draw No,0x2d8a8c670430061537dd6cb60c0fee0d0e0a4a3430fd00fcb390301f53e7b4d9,17,-12.642415
D/F draw No,0x33612fa508fb6941620588dadd2309558db8be0baa97ab4aad77a16dc187ceeb,1,0.220000
D/F draw No,0x344327632a0ab1c28b40003f14bfe75cb7d5bd65c58b4e34199cfc17a77104fe,23,-17.580000
D/F draw No,0x348549fa8f0babf3da7fe391c3b75c4ae1da0911bb964ea5d743c5abbe9a0e85,1,-0.710000
D/F draw No,0x353bfdea6f2cae034f1cef73064086e6c904d60d58f96c69644789b510ba862f,7,1.330000
D/F draw No,0x36f93dcdb75e18f9dd7f4bd4f976dd901562e6f779a86c8ac847f154e37e69d2,4,-3.080000
D/F draw No,0x3774cdf17e49143a4f6e10812df8b06113731493842fccc52dea045a1744ae61,28,7.397106
D/F draw No,0x3b9204e0fcba9234e3eaca1a941a342e4ce82aeb4ba373c668f2e8a72f1d41de,4,1.267500
D/F draw No,0x3dac1c6e41591af519fee14c8b7e47022825b19e04e643b115ca407c6a722617,4,0.460000
D/F draw No,0x3e0e84f19abf090dae4490caf1d7f74d5cbaa5d49fa0d64bee52a42b0f71c7e4,16,2.793054
D/F draw No,0x44a0f6adbea52acf0a97b90870a637a0bf577dc09b9b376ea56a0fbe86f68e12,4,0.635525
D/F draw No,0x4691465cd4ac73b2fc650d87ba8a4b9cb41dac7d7c74b746b9fefe93803acf9b,4,0.620111
D/F draw No,0x47c24cd8c444543effa1a0d8824fb7269a63eb98876046ef7e397931ff258916,1,0.040000
D/F draw No,0x4822d1452ba17d280b2c271db0e58df7866c9b494040649ab6c6ae8bb7363b18,10,2.390000
D/F draw No,0x4b38300fb27196d5ca73ae2cca3d601e107cf305e00358d64b2cdeb712eb5c5d,7,2.030000
D/F draw No,0x4d39d238893ea8f7e0f4d53822a594129b9a98a1fc18744dab57351742e6a702,2,0.390000
D/F draw No,0x51166276fa646ca50165f7d030c297138ed1d62dc41f6ffde21e962c44182074,1,-0.685000
D/F draw No,0x55aa84891f31cedeaef953dfabbb56214ed9549f2ca3ddfe10d395bc58def557,11,0.830194
D/F draw No,0x577cffeb67b4b292a9f8e29b967e5de1c409333fabb752cf5057768c5e900422,26,5.660220
D/F draw No,0x57dac5b6332f3d53233950105e7768575e511d90338f3f7be5ce993f424675a7,5,1.190000
D/F draw No,0x6257ac3bdd0b512bd6470c21d5dc99ed12ef42b5fd9ad6078fad24d351ebda5c,16,3.559710
D/F draw No,0x639c60e4a74ea30a30b637625813d3fabed195d88072a488f8b7ac6441b930ae,9,-8.410000
D/F draw No,0x6842a8422157cc03fad7dc57a87aae628c880680084309cf4327a18ad39cb720,1,-0.704278
D/F draw No,0x6bb8b2483eccb8fcae84cd42fd7d8e5e394689e0a06f95b189a77b4819cf0173,7,-4.850000
D/F draw No,0x6fcd127dbe2c45255d6b201b1b250c69dbf940de0fe80b4e40e23822c963443d,14,2.170000
D/F draw No,0x71b9be2e4558d3581e1023a0e0568a7a49fcca8c7f1ba1d1ca73fa1deb05e76f,6,-3.760000
D/F draw No,0x73cdf481e0d213e3ad3b2c096ad9dfea604b6587900419d0a214aac966c68988,16,-9.310000
D/F draw No,0x74976b907c58d1bf5c97de49b9db4561a46c69f31eb2d88c1deb4936cf12250d,1,0.170000
D/F draw No,0x7815af57ea657fd0442932a788988b7f6c219a46903e4bce678981b801daf8a4,11,1.150000
D/F draw No,0x788854b73c372dfb5cad306a8ef0cfb027023946531f0c2d9b23b2de4a560687,2,0.550000
D/F draw No,0x7c200c3facd45c4307c4d52d47a7d0d86fe219ff25eba92ff88a674d974c4ec3,6,1.250000
D/F draw No,0x7e88fd883e66a95417ac88e33876c14479a06e7aaae4c23494233622e2ee0467,17,4.670000
