acle	3	AFC Champions League Elite 2026
afc	6	AFC
arg	390	Primera División Argentina
argcopa	9	Copa Argentina
argpn	157	Primera Nacional
asean	11	ASEAN Championship
atc	49	OFB Cup
auc	29	Australia Cup
aus	121	A League Soccer
aut	42	Austria Bundesliga 2026
aze1	28	Azerbaijan Premier League
aze2	10	Azerbaijan First Division
bel1	54	Belgium Pro League
bel2	35	Belgium Challenger Pro League
bl2	225	Bundesliga 2
bol1	152	 Bolivia 1
bra	265	Brazil Serie A
bra2	272	Brazil Serie B
bra3	58	Brasileiro Série C
brco	56	Copa do Brasil
bul	63	Bulgaria Parva Liga 2026
bun	226	Bundesliga 2025
caf	104	CAF
cafcl	8	CAF Champions League
canpl	27	Canadian Premier League
ccc	9	CONCACAF Champions Cup
cde	63	Coupe de France
cdr	33	Copa del Rey
chfa	4	China FA Cup
chi	207	Chinese Super League
chi1	181	Primera Division
chi2	59	China League 1
chl2	68	Primera B (Chile)
clf	269	Club Friendlies
cof	36	Concacaf
col	337	Europa Conference League
col1	271	Primera A
col2	64	Primera B (Colombia)
con	10	Conmebol
cze1	187	Czechia 1
den	131	Denmark Superliga
dfb	39	DFB-Pokal
ecs	1	FA Community Shield
ecu1	74	LigaPro Primera A
efa	620	FA Cup
efl	72	EFL Cup
egy1	214	Egypt 1
el1	166	League One
el2	165	League Two
elc	387	EFL Championship
enl	165	National League
epl	280	Premier League 2025
ere	218	Eredivisie 2025
es2	346	La Liga 2
est1	40	Premium Liiga
fif	206	Fifa Friendly
fifwc	104	FIFA World Cup
fin1	53	Veikkausliiga
fl1	218	Ligue 1 2025
fpd	71	Liga Promerica
fr2	236	Ligue 2
fro1	23	Betri deildin
frtc	1	Trophee des Champions
geo1	14	Erovnuli Liga
grc	22	Greek Cup
gre1	29	Greece Super League
gsc	1	German Super Cup
gtm	107	Liga Nacional Guatemala
hr1	78	Prva Liga
hun	46	Hungary NB I 2026
icwq	4	WCQ Inter-Confederation Playoffs
idn1	18	Indonesia Liga 1
idn2	4	Indonesia Liga 2
ire	5	Ireland Premier Division 2026
irl1	34	Premier Division (Ireland)
isl1	47	Besta deild
isp	76	Indian Super League
isr	26	Israel Premier League 2026
itc	41	Coppa Italia 2025
itsb	291	Serie B
j1100	162	Japan J League
j2100	320	Japan J2 League
ja2	63	Japan J2 League
jap	70	Japan J League
kaz1	55	Premier League (Kazakhstan)
kor	173	K-league
kor2	64	K League 2
lal	288	La Liga 2025
lec	62	Leagues Cup
lib	146	Copa Libertadores 2025
ltu1	30	A Lyga
lva1	33	Virslīga
mar1	159	Morocco 1
mex	248	Liga MX 2025
mls	377	MLS 2025
ned2	62	Netherlands Eerste Divisie
nirl1	32	NIFL Premiership
nlc	33	KNVB Beker
nor	159	Norway Eliteserien
nor2	70	OBOS-ligaen
nwsl	169	NWSL
per1	215	Liga 1
pol	69	Poland Ekstraklasa
por	240	Primeira Liga
ptc	50	Taca de Portugal
ptsc	1	Portugal Super Cup
qat1	24	Qatar Stars League
rou1	193	Romania 1
rus	158	Russian Premier League
saf1	49	South Africa Premiership
sclc	28	Scotland League Cup
scoc	33	Scottish Cup
scop	174	Scottish Premiership
sea	287	Serie A 2025
skc	17	King Cup
slo	43	Slovenia PrvaLiga 2026
spl	288	Saudi Professional League
srb	58	Serbian SuperLiga 2026
ssc	3	Spanish Super Cup
sud	148	Copa Sudamericana 2025
sui	45	Switzerland Super League
svk1	91	Nike Liga
swe	99	Sweden Allsvenskan 2026
swe2	74	Superettan
tha1	13	Thai League 1
trsk	2	TFF Super Kupa
tur	206	Süper Lig 2025
tur2	69	Turkey 1. Lig
u20wwc	36	FIFA U-20 Women's World Cup
uae1	31	UAE Pro League
ucl	204	UEFA Champions League 2025
uef	151	UEF Qualifiers
uel	179	UEFA Europa League 2025
ukr1	153	Ukraine Premier Liha
unl	2	UEFA Nations League
uru1	70	Primera División (Uruguay)
usc	1	UEFA Super Cup
usl1	66	USL League One
uslc	103	USL Championship
usoc	1	US Open Cup
uwcl	88	Women's Champions League
uzb1	41	Superliga (Uzbekistan)
ven1	58	Primera División (Venezuela)
wsl	14	Women's Super League
wwcquefa	42	UEFA Women’s World Cup Qualification
