grp,condition_id,n,sum_edge
Basketball | Laying points,0xf318b4bd47ec0f0f853e75af11b3ff4902d4c5ba042b664bac4bda1169ba3cc1,4,1.857311
All sports | Laying points,0x392b0b5b48989e2208978535ce82ed77ceaea60a3e906ffe201c129a6621f2bb,9,-1.862511
Hockey | Taking points,0x4a7ffe6e6b4603ef5c7641ed22bfbf93b4f5222a6a8946698d991d1fb35ac455,1,0.325037
Baseball | Taking points,0x36a44994ebb54456d7194e7ac21486dcf7e7278d966b861e9b16c5fcb805aabc,2,0.950007
Before the start | Laying points,0x89a0467754843b26211815b4a26f75c6977cb05209c225797dd74e2ba96b66a7,1,0.470000
All sports | Taking points,0xc0c2aa208f6a2fc36846a39f523c59bea895272805ba077a020aeefe86d18846,23,-15.385914
Basketball | Laying points,0x9095c90158355c9c001debdf8b831b5df4c5ae416406ae18d0e4ac86c016ec8e,6,2.750000
Baseball | Taking points,0xee76a15798be8dae02895ff7d9986f04e44d06f61eb4e46dd453d8ab6ab28f47,1,0.370087
All sports | Taking points,0x8753a2c75150326a32dd107e10875803bb66516aa481773286b173a054c79adb,1,0.340000
All sports | Laying points,0x4a5c996d32d0905e5c13b18671de76b98409c606b1f8fafb327f80a91525d523,24,10.080000
Soccer | Laying points,0xbaf4b42efa22e7a782a3c57621e8483e2bb61155f3de647edca1f7272ab2a937,68,17.926236
All sports | Taking points,0xc75245f1b601a7bf5356d4d120c17e72b9854fe4e87abc285b4778d63145690c,3,1.520000
Baseball | Laying points,0x5471bc2a4dc61ada88d1db5bb77ce887612696b94672226f906ee59ca953994d,1,-0.416412
All sports | Taking points,0x59b48bb16667a03c36e590ea1285555616a978f0f67ba15ed76b4d41e3456a23,1,0.070000
All sports | Laying points,0x1f271e68d41a39dc4e6ac8365428e3e166f95fdd72cd5beca69d20bd352a5a0e,13,-6.190000
All sports | Taking points,0x386ac3a962d8cd3b28416128c1443b934b62b31cb7c472768f58fecddfc73235,3,-1.277242
Basketball | Laying points,0xebd3c2a79af89e974b741fb3429f552f186ec3a4fadf7af7abfdae023803fa5e,1,-0.470000
Basketball | Taking points,0x194c6c559a68ae4b43f84f2667bc8fc1fd1521fa56d0599903c5cc06471fa49f,3,1.720000
Baseball | Taking points,0x5f5e7b5084ab8f8b4e53d6a3473b531b8a4bba1da7fea484a8926116522baaf8,2,0.822813
All sports | Laying points,0x71ec97e4c56f9fcc8caec6bb6afe9c63c83d47149d2c69c5059df4ec241adf7c,1,0.438684
All sports | Laying points,0x51b3013982097ed11aa93039dc521f984f0525c07f4dcef432d3eb6765f87c38,2,-0.991920
All sports | Taking points,0xb3260de5ae9935d6976ea1c378d06a8e81f9ae8b72b9d4ae77f5ab93d92c5a4b,25,-12.059221
All sports | Laying points,0x1471c74f6984c598c3b0889777932a4e6e73ed9461508925c8d3ab39654cf06f,2,-0.979640
Before the start | Taking points,0xaeddadcedef5743d2d94b3b7e3a530efeb9b6bad1689c425e836160f6861b9ba,6,-2.580000
All sports | Laying points,0xfcfbdff9fdb76ad5e0c98ea7f9ad0c8a7cec3516303549de9c0067f73a7014f4,16,6.755444
Basketball | Laying points,0xcf507bdd573cc02468db860030931c4b97bfbc2e6f23da2f36edb79c5b6c10a4,3,-1.663521
Soccer | Taking points,0xb026f0dd21e1816befda55d2d60a574458cd2dc7475e5f7d89189b721a66dfde,3,-1.720000
Before the start | Laying points,0xe06d809f1cd5db18b6454a09e6482b54e5db42e5e9e052a0cf00e6b5158058aa,4,-2.383720
Before the start | Taking points,0x0f3356ed35a1bf49519911263a08af44f86f6eafeea0474b3d06a943100569ee,2,0.070581
Basketball | Taking points,0x65f85ce17a94d1cc644b03eafb8e7b368082dcc6e06353c118baa93f6be1c137,1,-0.640000
Before the start | Laying points,0x7a72ca8bcfd14eeff7c11cb122de64e327f3bea196cb6feed3374de18c59f04b,3,1.300000
In-play | Laying points,0x4e094bf300feea0c92a082dc5e35048d740a4c8448cfea148bb60fa21c181acc,1,0.530447
Before the start | Laying points,0x523740838de0122e4b1995ed8c91c16ae995323c846670a32f7e85551098d37a,1,0.450000
All sports | Taking points,0x9e75d699d5721cc3076a28b2647c5faba187def2fed6d4060c64f450ab4f4b53,1,-0.470000
Before the start | Taking points,0x58ab7ef7e2a5885b10fda8bf7989b700b25ea26214a8062eb741be1931d9eb5f,4,-2.200000
Soccer | Laying points,0xa727a02ea7cbbc805fcb0674a67bee71d0aa52748e9d9328f751878e5fbf4cfb,1,-0.208636
All sports | Taking points,0x53b64f32ec0525405d0acfeebe5c2f391edb734beacf3c10ee8518d80ed20446,3,1.225903
Basketball | Taking points,0xd8d6513fbf8c82937a0022c02cb22d4f95d7820cd058375037abf0113d405c0f,2,-1.160000
Soccer | Laying points,0x4258fe13aa7d4f32cebda7ad8245842a5a37ba5d1709c88db646cdc657cd68db,7,3.079506
Before the start | Taking points,0xcbd1e4cc910f8ea108c81919e9c90394d79833d3bd4194d50d2b7f5d656be1dc,1,-0.550000
In-play | Taking points,0x90c63cb498560ea74251ca6d455ca1baa6616cfd906148f48ead0fadd7810667,1,0.109364
